"id" "sex" "age" "KRN" "bKRN"
"350" "XBSA_1G7" 1 90 20 1
"351" "XBSA_1G8" 1 90 19 1
"352" "XBSA_6F8" 1 90 11 0
"353" "XBSA_1H5" 1 90 21 1
"354" "XBSA_6F7" 1 90 14 0
"355" "XBSA_1H6" 1 90 21 1
"356" "XBSA_1H7" 1 90 21 1
"357" "XBSA_6F6" 1 90 17 0
"358" "XBSA_4B9" 1 90 9 -1
"359" "XBSA_6F5" 1 90 15 0
"360" "XBSA_1H8" 1 90 21 1
"361" "XBSA_4B10" 1 90 9 -1
"362" "XBSA_1B3" 1 90 22 1
"363" "XBSA_1A9" 1 90 18 1
"364" "XBSA_6E8" 1 90 16 0
"365" "XBSA_4B11" 1 90 9 -1
"366" "XBSA_6E7" 1 90 11 0
"367" "XBSA_6E6" 1 90 11 0
"368" "XBSA_3C8" 1 90 9 -1
"369" "XBSA_4C9" 1 90 9 -1
"370" "XBSA_1A11" 1 90 18 1
"371" "XBSA_4C10" 1 90 9 -1
"372" "XBSA_4C11" 1 90 9 -1
"373" "XBSA_3D8" 1 90 9 -1
"374" "XBSA_4D9" 1 90 9 -1
"375" "XBSA_1A12" 1 90 18 1
"376" "XBSA_6E5" 1 90 15 0
"377" "XBSA_6D8" 1 90 12 0
"378" "XBSA_6D7" 1 90 15 0
"379" "XBSA_1B9" 1 90 18 1
"380" "XBSA_1B10" 1 90 18 1
"381" "XBSA_6D6" 1 90 13 0
"382" "XBSA_4D10" 1 90 9 -1
"383" "XBSA_1B11" 1 90 19 1
"384" "XBSA_1B12" 1 90 18 1
"385" "XBSA_1C9" 1 90 21 1
"386" "XBSA_1C10" 1 90 19 1
"387" "XBSA_1C11" 1 90 19 1
"388" "XBSA_1C12" 1 90 18 1
"389" "XBSA_1D9" 1 90 20 1
"390" "XBSA_1D10" 1 90 20 1
"391" "XBSA_1D11" 1 90 19 1
"392" "XBSA_1D12" 1 90 18 1
"393" "XBSA_1E9" 1 90 19 1
"394" "XBSA_1E10" 1 90 18 1
"395" "XBSA_1B4" 1 90 23 1
"396" "XBSA_1E11" 1 90 18 1
"397" "XBSA_4D11" 1 90 9 -1
"398" "XBSA_4D12" 1 90 9 -1
"399" "XBSA_4E9" 1 90 9 -1
"400" "XBSA_4E10" 1 90 9 -1
"401" "XBSA_4B2" 1 90 6 -1
"402" "XBSA_4E11" 1 90 9 -1
"403" "XBSA_4E12" 1 90 9 -1
"404" "XBSA_4F9" 1 90 9 -1
"405" "XBSA_4F10" 1 90 9 -1
"406" "XBSA_4F11" 1 90 9 -1
"407" "XBSA_4F12" 1 90 9 -1
"408" "XBSA_4G9" 1 90 9 -1
"409" "XBSA_4G10" 1 90 8 -1
"410" "XBSA_4G11" 1 90 9 -1
"411" "XBSA_6D5" 1 90 10 0
"412" "XBSA_4G12" 1 90 9 -1
"413" "XBSA_4H9" 1 90 9 -1
"414" "XBSA_4H10" 1 90 9 -1
"415" "XBSA_4H11" 1 90 9 -1
"416" "XBSA_4H12" 1 90 8 -1
"417" "XBSA_5A1" 1 90 9 -1
"418" "XBSA_5A2" 1 90 9 -1
"419" "XBSA_5A3" 1 90 9 -1
"420" "XBSA_5B1" 1 90 9 -1
"421" "XBSA_5B2" 1 90 8 -1
"422" "XBSA_1E12" 1 90 18 1
"423" "XBSA_5B3" 1 90 9 -1
"424" "XBSA_5B4" 1 90 9 -1
"425" "XBSA_5C1" 1 90 9 -1
"426" "XBSA_6C8" 1 90 10 0
"427" "XBSA_4B3" 1 90 7 -1
"428" "XBSA_4B4" 1 90 6 -1
"429" "XBSA_4C1" 1 90 8 -1
"430" "XBSA_6C7" 1 90 18 0
"431" "XBSA_1F9" 1 90 19 1
"432" "XBSA_1F10" 1 90 19 1
"433" "XBSA_1C1" 1 90 22 1
"434" "XBSA_5C2" 1 90 8 -1
"435" "XBSA_4C2" 1 90 7 -1
"436" "XBSA_5C3" 1 90 9 -1
"437" "XBSA_5C4" 1 90 9 -1
"438" "XBSA_5D1" 1 90 9 -1
"439" "XBSA_5D2" 1 90 9 -1
"440" "XBSA_6C6" 1 90 10 0
"441" "XBSA_5D3" 1 90 9 -1
"442" "XBSA_5D4" 1 90 9 -1
"443" "XBSA_6C5" 1 90 12 0
"444" "XBSA_1F11" 1 90 20 1
"445" "XBSA_6B8" 1 90 13 0
"446" "XBSA_1F12" 1 90 19 1
"447" "XBSA_1G9" 1 90 18 1
"448" "XBSA_5E1" 1 90 9 -1
"449" "XBSA_5E2" 1 90 9 -1
"450" "XBSA_5E3" 1 90 9 -1
"451" "XBSA_4C3" 1 90 6 -1
"452" "XBSA_5E4" 1 90 9 -1
"453" "XBSA_4C4" 1 90 8 -1
"454" "XBSA_5F1" 1 90 9 -1
"455" "XBSA_6B7" 1 90 12 0
"456" "XBSA_5F2" 1 90 7 -1
"457" "XBSA_5F3" 1 90 8 -1
"458" "XBSA_4D1" 1 90 8 -1
"459" "XBSA_5F4" 1 90 9 -1
"460" "XBSA_1G10" 1 90 23 1
"461" "XBSA_6B6" 1 90 10 0
"462" "XBSA_1G11" 1 90 21 1
"463" "XBSA_7C5" 1 90 13 0
"464" "XBSA_1G12" 1 90 21 1
"465" "XBSA_1H10" 1 90 19 1
"466" "XBSA_1H11" 1 90 18 1
"467" "XBSA_5G1" 1 90 9 -1
"468" "XBSA_5G2" 1 90 9 -1
"469" "XBSA_1H12" 1 90 18 1
"470" "XBSA_4D2" 1 90 8 -1
"471" "XBSA_2A1" 1 90 18 1
"472" "XBSA_7B8" 1 90 13 0
"473" "XBSA_2A2" 1 90 19 1
"474" "XBSA_5G3" 1 90 9 -1
"475" "XBSA_5G4" 1 90 9 -1
"476" "XBSA_5H1" 1 90 9 -1
"477" "XBSA_5H2" 1 90 9 -1
"478" "XBSA_5H3" 1 90 9 -1
"479" "XBSA_2A3" 1 90 18 1
"480" "XBSA_5H4" 1 90 9 -1
"481" "XBSA_2A4" 1 90 18 1
"482" "XBSA_2B1" 1 90 19 1
"483" "XBSA_5A5" 1 90 9 -1
"484" "XBSA_2B2" 1 90 18 1
"485" "XBSA_2B3" 1 90 18 1
"486" "XBSA_2B4" 1 90 18 1
"487" "XBSA_7B7" 1 90 16 0
"488" "XBSA_7B6" 1 90 16 0
"489" "XBSA_5A6" 1 90 9 -1
"490" "XBSA_5A7" 1 90 9 -1
"491" "XBSA_5A8" 1 90 9 -1
"492" "XBSA_5B5" 1 90 9 -1
"493" "XBSA_5B6" 1 90 9 -1
"494" "XBSA_2C1" 1 90 18 1
"495" "XBSA_7B5" 1 90 12 0
