"Genotype"	"Estimate"	"StdErr"
"641"	"Mo17xM0086"	12.8711	0.4089
"642"	"Mo17xM0088"	12.2684	0.4846
"643"	"Mo17xM0090"	12.6685	0.4392
"644"	"Mo17xM0091"	12.8497	0.4089
"645"	"Mo17xM0092"	11.9936	0.3849
"646"	"Mo17xM0093"	12.636	0.4089
"647"	"Mo17xM0095"	13.8804	0.4238
"648"	"Mo17xM0096"	13.8433	0.5191
"649"	"Mo17xM0097"	14.0363	0.4239
"650"	"Mo17xM0098"	13.3876	0.3965
"651"	"Mo17xM0099"	12.5319	0.4238
"652"	"Mo17xM0100"	11.4085	0.4579
"653"	"Mo17xM0101"	13.0352	0.4237
"654"	"Mo17xM0102"	14.4635	0.424
"655"	"Mo17xM0103"	12.8985	0.4239
"656"	"Mo17xM0104"	12.2903	0.4418
"657"	"Mo17xM0105"	13.1482	0.4089
"658"	"Mo17xM0106"	11.9459	0.4228
"659"	"Mo17xM0107"	13.8215	0.3964
"660"	"Mo17xM0109"	12.3856	0.4809
"661"	"Mo17xM0110"	12.6189	0.4239
"662"	"Mo17xM0113"	14.626	0.4238
"663"	"Mo17xM0114"	14.6744	0.385
"664"	"Mo17xM0115"	12.2273	0.4238
"665"	"Mo17xM0116"	11.4322	0.4594
"666"	"Mo17xM0117"	13.2666	0.5056
"667"	"Mo17xM0118"	13.6816	0.4227
"668"	"Mo17xM0120"	13.3757	0.4238
"669"	"Mo17xM0121"	13.4964	0.4238
"670"	"Mo17xM0122"	13.4262	0.409
"671"	"Mo17xM0123"	12.5635	0.4608
"672"	"Mo17xM0124"	13.2077	0.3964
"673"	"Mo17xM0125"	14.6928	0.4238
"674"	"Mo17xM0126"	12.116	0.4261
"675"	"Mo17xM0127"	13.0002	0.4238
"676"	"Mo17xM0129"	12.5851	0.5057
"677"	"Mo17xM0130"	14.1638	0.3964
"678"	"Mo17xM0131"	12.2311	0.4089
"679"	"Mo17xM0132"	12.4775	0.4239
"680"	"Mo17xM0133"	13.0308	0.4089
"681"	"Mo17xM0138"	12.6324	0.4239
"682"	"Mo17xM0141"	13.2403	0.4089
"683"	"Mo17xM0142"	13.9869	0.4228
"684"	"Mo17xM0143"	13.6148	0.4419
"685"	"Mo17xM0144"	13.5414	0.409
"686"	"Mo17xM0145"	13.6354	0.4642
"687"	"Mo17xM0147"	12.9292	0.4239
"688"	"Mo17xM0149"	14.1954	0.4238
"689"	"Mo17xM0150"	11.8625	0.4099
"690"	"Mo17xM0151"	12.2654	0.409
"691"	"Mo17xM0152"	12.7945	0.5399
"692"	"Mo17xM0154"	12.7343	0.4608
"693"	"Mo17xM0155"	12.2849	0.4238
"694"	"Mo17xM0156"	13.7207	0.3964
"695"	"Mo17xM0157"	13.7473	0.4238
"696"	"Mo17xM0160"	13.72	0.409
"697"	"Mo17xM0160A"	14.5503	0.4405
"698"	"Mo17xM0161"	12.8375	0.4579
"699"	"Mo17xM0162"	13.1806	0.4594
"700"	"Mo17xM0162A"	15.4187	0.3964
"701"	"Mo17xM0163"	13.0577	0.4237
"702"	"Mo17xM0165"	14.4773	0.4228
"703"	"Mo17xM0166"	12.7931	0.51
"704"	"Mo17xM0167"	13.6352	0.409
"705"	"Mo17xM0168"	12.3972	0.4089
"706"	"Mo17xM0169"	12.5193	0.3964
"707"	"Mo17xM0173"	14.4075	0.5076
"708"	"Mo17xM0174"	12.0197	0.4404
"709"	"Mo17xM0176"	13.4395	0.4089
"710"	"Mo17xM0177"	13.0288	0.5056
"711"	"Mo17xM0178"	14.129	0.4099
"712"	"Mo17xM0179"	11.962	0.409
"713"	"Mo17xM0180"	12.2639	0.3965
"714"	"Mo17xM0181"	13.0819	0.4405
"715"	"Mo17xM0185"	15.1689	0.8081
"716"	"Mo17xM0187"	13.457	0.4089
"717"	"Mo17xM0188"	13.7244	0.4239
"718"	"Mo17xM0189"	13.6478	0.4713
"719"	"Mo17xM0191"	13.0866	0.41
"720"	"Mo17xM0192"	15.1135	0.5057
"721"	"Mo17xM0194"	14.1657	0.996
"722"	"Mo17xM0195"	12.0036	0.4579
"723"	"Mo17xM0196"	13.5482	0.4238
"724"	"Mo17xM0197"	14.1887	0.4099
"725"	"Mo17xM0198"	12.9745	0.5196
"726"	"Mo17xM0199"	12.0598	0.4929
"727"	"Mo17xM0200"	12.8094	0.385
"728"	"Mo17xM0201"	14.414	0.3961
"729"	"Mo17xM0203"	14.1766	0.4607
"730"	"Mo17xM0204"	13.0381	0.4417
"731"	"Mo17xM0205"	14.0323	0.409
"732"	"Mo17xM0206"	13.0276	0.4404
"733"	"Mo17xM0208"	13.2513	0.4396
"734"	"Mo17xM0209"	13.973	0.6322
"735"	"Mo17xM0210"	12.1195	0.385
"736"	"Mo17xM0212"	11.6382	0.5427
"737"	"Mo17xM0213"	12.9171	0.4089
"738"	"Mo17xM0214"	13.8695	0.4238
"739"	"Mo17xM0215"	12.7085	0.3965
"740"	"Mo17xM0216"	12.8699	0.4392
"741"	"Mo17xM0217"	14.2027	0.4393
"742"	"Mo17xM0218"	13.4969	0.3965
"743"	"Mo17xM0219"	12.9064	0.409
"744"	"Mo17xM0220"	15.1168	0.3964
"745"	"Mo17xM0222"	13.4081	0.4089
"746"	"Mo17xM0223"	12.9272	0.4608
"747"	"Mo17xM0225"	13.2007	0.4929
"748"	"Mo17xM0228"	14.1954	0.4642
"749"	"Mo17xM0229"	13.0299	0.5197
"750"	"Mo17xM0230"	12.1924	0.4406
"751"	"Mo17xM0232"	13.6058	0.54
"752"	"Mo17xM0233"	13.6364	0.4228
"753"	"Mo17xM0234"	13.7109	0.4238
"754"	"Mo17xM0235"	13.6485	0.41
"755"	"Mo17xM0236"	12.7095	0.4237
"756"	"Mo17xM0238"	14.7356	0.3964
"757"	"Mo17xM0239"	14.302	0.4608
"758"	"Mo17xM0240"	13.3038	0.5077
"759"	"Mo17xM0241"	12.9244	0.4238
"760"	"Mo17xM0244"	12.936	0.3965
"761"	"Mo17xM0245"	14.4262	0.4608
"762"	"Mo17xM0248"	12.6952	0.385
"763"	"Mo17xM0249"	15.3511	0.4608
"764"	"Mo17xM0251"	12.76	0.4238
"765"	"Mo17xM0252"	13.7326	0.4238
"766"	"Mo17xM0254"	13.2622	0.3965
"767"	"Mo17xM0256"	15.4099	0.409
"768"	"Mo17xM0257"	12.6595	0.4238
"769"	"Mo17xM0258"	13.4076	0.4091
"770"	"Mo17xM0259"	12.5013	0.4928
"771"	"Mo17xM0260"	12.3603	0.458
"772"	"Mo17xM0262"	13.5986	0.4594
"773"	"Mo17xM0263"	13.6579	0.3961
"774"	"Mo17xM0264"	13.6317	0.3965
"775"	"Mo17xM0265"	13.8985	0.4417
"776"	"Mo17xM0266"	14.7822	0.3849
"777"	"Mo17xM0267"	13.8332	0.3964
"778"	"Mo17xM0269"	13.4181	0.4238
"779"	"Mo17xM0270"	13.1274	0.4928
"780"	"Mo17xM0271"	13.3127	0.4405
"781"	"Mo17xM0272"	14.5514	0.3964
"782"	"Mo17xM0273"	14.2219	0.4393
"783"	"Mo17xM0274"	14.0684	0.5177
"784"	"Mo17xM0275"	16.2424	0.385
"785"	"Mo17xM0276"	13.6476	0.4238
"786"	"Mo17xM0279"	13.7303	0.4238
"787"	"Mo17xM0280"	12.8492	0.4088
"788"	"Mo17xM0281"	12.0555	0.385
"789"	"Mo17xM0282"	13.0503	0.4228
"790"	"Mo17xM0283"	13.7783	0.409
"791"	"Mo17xM0284"	13.2369	0.5056
"792"	"Mo17xM0285"	12.2808	0.4393
"793"	"Mo17xM0286"	12.8913	0.4237
"794"	"Mo17xM0287"	14.3107	0.4608
"795"	"Mo17xM0288"	13.9471	0.4237
"796"	"Mo17xM0289"	12.3036	0.3964
"797"	"Mo17xM0290"	12.104	0.4089
"798"	"Mo17xM0291"	14.4668	0.3964
"799"	"Mo17xM0292"	11.8516	0.409
"800"	"Mo17xM0293"	11.9839	0.409
"801"	"Mo17xM0294"	13.2119	0.3964
"802"	"Mo17xM0295"	13.7065	0.4089
"803"	"Mo17xM0296"	12.4487	0.5489
"804"	"Mo17xM0297"	13.8716	0.3849
"805"	"Mo17xM0298"	14.4051	0.3964
"806"	"Mo17xM0300"	12.9787	0.4594
"807"	"Mo17xM0303"	13.5309	0.3964
"808"	"Mo17xM0304"	12.4112	0.5867
"809"	"Mo17xM0305"	13.162	0.4404
"810"	"Mo17xM0306"	13.0342	0.4579
"811"	"Mo17xM0307"	13.5468	0.3964
"812"	"Mo17xM0308"	13.5002	0.4227
"813"	"Mo17xM0309"	13.4675	0.4863
"814"	"Mo17xM0310"	14.0245	0.4842
"815"	"Mo17xM0311"	13.7849	0.4405
"816"	"Mo17xM0312"	13.9398	0.4238
"817"	"Mo17xM0313"	12.071	0.4089
"818"	"Mo17xM0317"	12.1899	0.4099
"819"	"Mo17xM0318"	13.1807	0.4238
"820"	"Mo17xM0320"	13.3526	0.4595
"821"	"Mo17xM0321"	14.0385	0.4595
"822"	"Mo17xM0322"	13.2676	0.5486
"823"	"Mo17xM0323"	12.7137	0.4579
"824"	"Mo17xM0324"	13.1675	0.4227
"825"	"Mo17xM0325"	13.3857	0.3849
"826"	"Mo17xM0326"	12.3541	0.4594
"827"	"Mo17xM0327"	12.7731	0.4239
"828"	"Mo17xM0328"	13.1784	0.4227
"829"	"Mo17xM0331"	13.883	0.4641
"830"	"Mo17xM0334"	13.8672	0.3963
"831"	"Mo17xM0335"	11.2078	0.409
"832"	"Mo17xM0337"	11.9915	0.3965
"833"	"Mo17xM0338"	12.1731	0.385
"834"	"Mo17xM0339"	14.642	0.5077
"835"	"Mo17xM0341"	13.4186	0.5101
"836"	"Mo17xM0342"	14.0703	0.54
"837"	"Mo17xM0344"	12.9433	0.385
"838"	"Mo17xM0345"	12.2641	0.3964
"839"	"Mo17xM0348"	12.0301	0.3964
"840"	"Mo17xM0350"	12.4214	0.4594
"841"	"Mo17xM0351"	11.6408	0.4228
"842"	"Mo17xM0352"	14.1846	0.385
"843"	"Mo17xM0353"	14.4101	0.3964
"844"	"Mo17xM0354"	12.1914	0.4579
"845"	"Mo17xM0355"	13.2821	0.3964
"846"	"Mo17xM0357"	12.688	0.4595
"847"	"Mo17xM0358"	14.5994	0.3963
"848"	"Mo17xM0360"	12.0589	0.4595
"849"	"Mo17xM0362"	13.7399	0.4099
"850"	"Mo17xM0364"	13.7362	0.4238
"851"	"Mo17xM0365"	14.0282	0.4405
"852"	"Mo17xM0366"	12.7966	0.4393
"853"	"Mo17xM0368"	13.147	0.4228
"854"	"Mo17xM0369"	13.2868	0.3964
"855"	"Mo17xM0370"	13.9135	0.4239
"856"	"Mo17xM0375"	12.6912	0.4099
"857"	"Mo17xM0376"	12.9427	0.3964
"858"	"Mo17xM0377"	13.5269	0.4238
"859"	"Mo17xM0378"	12.9485	0.409
"860"	"Mo17xM0379"	12.6729	0.385
"861"	"Mo17xM0380"	13.064	0.4809
"862"	"Mo17xM0381"	12.9028	0.5101
"863"	"Mo17xM0382"	14.6411	0.4809
"864"	"Mo17xM0383"	13.0567	0.409
"865"	"Mo17xM0384"	12.7924	0.385
