"Genotype"	"Estimate"	"StdErr"
"141"	"B73xM0187"	17.8709	0.3851
"142"	"B73xM0188"	17.4734	0.5078
"143"	"B73xM0189"	17.8861	0.5178
"144"	"B73xM0191"	16.028	0.4239
"145"	"B73xM0192"	16.9716	0.9769
"146"	"B73xM0194"	18.3769	0.5428
"147"	"B73xM0195"	16.1932	0.5426
"148"	"B73xM0196"	17.6845	0.4595
"149"	"B73xM0197"	17.1766	0.3965
"150"	"B73xM0198"	15.9418	0.8083
"151"	"B73xM0199"	14.0975	0.6378
"152"	"B73xM0200"	16.3888	0.424
"153"	"B73xM0201"	18.4306	0.3962
"154"	"B73xM0203"	16.6719	0.4239
"155"	"B73xM0204"	15.4159	0.4239
"156"	"B73xM0205"	15.5329	0.711
"157"	"B73xM0206"	16.7344	0.4393
"158"	"B73xM0208"	18.2061	0.4463
"159"	"B73xM0209"	17.7977	0.481
"160"	"B73xM0210"	14.6436	0.3852
"161"	"B73xM0212"	15.8409	0.5102
"162"	"B73xM0213"	16.3591	0.4229
"163"	"B73xM0214"	16.1755	0.7108
"164"	"B73xM0215"	16.2261	0.4406
"165"	"B73xM0216"	15.9652	0.8081
"166"	"B73xM0217"	17.7785	0.5079
"167"	"B73xM0218"	16.5515	0.3852
"168"	"B73xM0219"	16.9375	0.481
"169"	"B73xM0220"	17.4716	0.4091
"170"	"B73xM0222"	17.37	0.3851
"171"	"B73xM0223"	16.9506	0.4406
"172"	"B73xM0225"	16.3748	0.5491
"173"	"B73xM0228"	18.7321	0.4394
"174"	"B73xM0229"	18.4197	0.4932
"175"	"B73xM0230"	14.5989	0.7109
"176"	"B73xM0232"	17.0384	0.5791
"177"	"B73xM0233"	17.2134	0.4595
"178"	"B73xM0234"	18.0969	0.4642
"179"	"B73xM0235"	16.7231	0.4847
"180"	"B73xM0236"	14.8905	0.4089
"181"	"B73xM0238"	16.795	0.4609
"182"	"B73xM0239"	18.8774	0.4394
"183"	"B73xM0240"	16.2298	0.4642
"184"	"B73xM0241"	16.6296	0.4394
"185"	"B73xM0244"	16.3704	0.3966
"186"	"B73xM0245"	17.4212	0.3966
"187"	"B73xM0248"	15.6177	0.3965
"188"	"B73xM0249"	17.1102	0.5857
"189"	"B73xM0251"	16.1813	0.4596
"190"	"B73xM0252"	18.2836	0.3851
"191"	"B73xM0254"	16.613	0.5487
"192"	"B73xM0256"	17.2537	0.7979
"193"	"B73xM0257"	15.9837	0.4393
"194"	"B73xM0258"	16.6647	0.5758
"195"	"B73xM0259"	15.7289	0.59
"196"	"B73xM0260"	15.9405	0.4091
"197"	"B73xM0262"	15.9843	0.3965
"198"	"B73xM0263"	17.6601	0.4095
"199"	"B73xM0264"	17.6564	0.4091
"200"	"B73xM0265"	17.9386	0.3965
"201"	"B73xM0266"	17.4505	0.385
"202"	"B73xM0267"	16.9919	0.4229
"203"	"B73xM0269"	16.2276	0.4393
"204"	"B73xM0270"	16.3318	0.549
"205"	"B73xM0271"	15.1669	0.3965
