Pedigree,Genotype,Note,KRN,QS,TS,date
10g-1809-22@,Z005E0066,CML277,16,4,S,3.31.2011
10g-1809-23@,Z005E0066,CML277,,,,3.31.2011
10g-1810-21@,Z026E0088,Tzi8,20,5,S,3.31.2011
10g-1810-22@,Z026E0088,Tzi8,15,3,T,3.31.2011
10g-1810-23@,Z026E0088,Tzi8,18,4,T,3.31.2011
10g-1810-24@,Z026E0088,Tzi8,18,5,S,3.31.2011
10g-1811-21@,Z023E0085,Oh7B,20,5,S,3.31.2011
10g-1811-22@,Z023E0085,Oh7B,,,,3.31.2011
10g-1812-21@,Z009E0120,CML69,16,5,S,3.31.2011
10g-1812-22@,Z009E0120,CML69,16,5,S,3.31.2011
10g-1812-23@,Z009E0120,CML69,,,,3.31.2011
10g-1813-21@,Z026E0176,Tzi8,16,5,S,3.31.2011
10g-1813-22@,Z026E0176,Tzi8,16,5,S,3.31.2011
10g-1813-23@,Z026E0176,Tzi8,18,4,S,3.31.2011
10g-1813-24@,Z026E0176,Tzi8,,,,3.31.2011
10g-1813-25@,Z026E0176,Tzi8,,,,3.31.2011
10g-1814-21@,Z015E0155,M162W,16,4,S,3.31.2011
10g-1814-22@,Z015E0155,M162W,16,5,S,3.31.2011
10g-1814-23@,Z015E0155,M162W,12,4,S,3.31.2011
10g-1814-24@,Z015E0155,M162W,12,5,S,3.31.2011
10g-1814-25@,Z015E0155,M162W,,,,3.31.2011
10g-1815-21@,Z009E0015,CML69,12,5,S,3.31.2011
10g-1815-22@,Z009E0015,CML69,14,4,T,3.31.2011
10g-1815-23@,Z009E0015,CML69,14,4,T,3.31.2011
10g-1815-24@,Z009E0015,CML69,14,5,S,3.31.2011
10g-1816-21@,Z026E0080,Tzi8,16,3,T,3.31.2011
10g-1816-22@,Z026E0080,Tzi8,14,4,T,3.31.2011
10g-1816-23@,Z026E0080,Tzi8,16,3,T,3.31.2011
10g-1816-24@,Z026E0080,Tzi8,16,4,T,3.31.2011
10g-1817-21@,Z004E0136,CML247,16,5,S,3.31.2011
10g-1817-22@,Z004E0136,CML247,20,5,S,3.31.2011
10g-1817-23@,Z004E0136,CML247,18,3,S,3.31.2011
10g-1818-21@,Z005E0004,CML277,14,4,S,3.31.2011
10g-1818-22@,Z005E0004,CML277,16,3,S,3.31.2011
10g-1818-23@,Z005E0004,CML277,14,2,S,3.31.2011
10g-1819-21@,Z008E0047,CML52,14,5,S,3.31.2011
10g-1819-22@,Z008E0047,CML52,18,5,S,3.31.2011
10g-1820-21@,Z004E0039,CML247,14,5,S,3.31.2011
10g-1820-22@,Z004E0039,CML247,14,5,S,3.31.2011
10g-1820-23@,Z004E0039,CML247,12,4,S,3.31.2011
10g-1820-24@,Z004E0039,CML247,,,,3.31.2011
10g-1821-21@,Z009E0125,CML69,14,5,S,3.31.2011
10g-1821-22@,Z009E0125,CML69,12,5,S,3.31.2011
10g-1821-23@,Z009E0125,CML69,14,4,S,3.31.2011
10g-1821-24@,Z009E0125,CML69,14,3,S,3.31.2011
10g-1822-21@,Z009E0114,CML69,14,5,S,3.31.2011
10g-1822-22@,Z009E0114,CML69,14,5,S,3.31.2011
10g-1822-23@,Z009E0114,CML69,14,4,T,3.31.2011
10g-1822-24@,Z009E0114,CML69,13,4,T,3.31.2011
10g-1822-25@,Z009E0114,CML69,,,,3.31.2011
10g-1823-21@,Z026E0150,Tzi8,14,4,T,3.31.2011
10g-1823-22@,Z026E0150,Tzi8,14,2,S,3.31.2011
10g-1823-23@,Z026E0150,Tzi8,,,,3.31.2011
10g-1824-21@,Z026E0111,Tzi8,14,4,S,3.31.2011
10g-1824-22@,Z026E0111,Tzi8,14,5,S,3.31.2011
10g-1825-21@,Z020E0159,NC350,18,5,S,3.31.2011
10g-1825-22@,Z020E0159,NC350,18,4,S,3.31.2011
10g-1825-23@,Z020E0159,NC350,16,3,S,3.31.2011
10g-1825-24@,Z020E0159,NC350,16,3,S,3.31.2011
10g-1826-21@,Z020E0152,NC350,14,4,T,3.31.2011
10g-1826-22@,Z020E0152,NC350,12,4,S,3.31.2011
10g-1826-23@,Z020E0152,NC350,,,,3.31.2011
10g-1827-21@,Z026E0181,Tzi8,16,5,S,3.31.2011
10g-1827-22@,Z026E0181,Tzi8,14,4,T,3.31.2011
10g-1827-23@,Z026E0181,Tzi8,16,1,S,3.31.2011
10g-1827-24@,Z026E0181,Tzi8,,,,3.31.2011
10g-1828-21@,Z018E0130,Mo18W,22,4,T,3.31.2011
10g-1828-22@,Z018E0130,Mo18W,18,5,S,3.31.2011
10g-1829-21@,Z016E0021,M37W,14,5,S,3.31.2011
10g-1829-22@,Z016E0021,M37W,18,4,S,3.31.2011
10g-1829-23@,Z016E0021,M37W,,,,3.31.2011
10g-1829-24@,Z016E0021,M37W,,,,3.31.2011
10g-1830-21@,Z018E0031,Mo18W,16,5,S,3.31.2011
10g-1830-22@,Z018E0031,Mo18W,16,4,S,3.31.2011
10g-1831-21@,Z021E0022,NC358,12,4,S,3.31.2011
10g-1831-22@,Z021E0022,NC358,14,2,S,3.31.2011
10g-1831-23@,Z021E0022,NC358,14,1,S,3.31.2011
10g-1831-24@,Z021E0022,NC358,,,,3.31.2011
10g-1832-21@,Z026E0121,Tzi8,16,4,T,3.31.2011
10g-1832-22@,Z026E0121,Tzi8,16,3,T,3.31.2011
10g-1832-23@,Z026E0121,Tzi8,16,3,T,3.31.2011
10g-1832-24@,Z026E0121,Tzi8,16,3,T,3.31.2011
10g-1832-25@,Z026E0121,Tzi8,,,,3.31.2011
10g-1833-21@,Z009E0137,CML69,18,5,S,3.31.2011
10g-1833-22@,Z009E0137,CML69,16,5,S,3.31.2011
10g-1833-23@,Z009E0137,CML69,20,4,T,3.31.2011
10g-1833-24@,Z009E0137,CML69,18,3,S,3.31.2011
10g-1834-21@,Z015E0066,M162W,16,5,S,3.31.2011
10g-1834-22@,Z015E0066,M162W,16,2,S,3.31.2011
10g-1834-23@,Z015E0066,M162W,16,2,S,3.31.2011
10g-1834-24@,Z015E0066,M162W,,,,3.31.2011
10g-1835-21@,Z015E0199,M162W,16,5,S,3.31.2011
10g-1835-22@,Z015E0199,M162W,16,5,S,3.31.2011
10g-1835-23@,Z015E0199,M162W,,,,3.31.2011
10g-1836-21@,Z009E0140,CML69,16,5,S,3.31.2011
10g-1836-22@,Z009E0140,CML69,,,,3.31.2011
10g-1836-23@,Z009E0140,CML69,,,,3.31.2011
10g-1837-21@,Z009E0116,CML69,12,5,S,3.31.2011
10g-1838-21@,Z002E0156,CML103,16,5,S,3.31.2011
10g-1838-22@,Z002E0156,CML103,16,3,S,3.31.2011
10g-1838-23@,Z002E0156,CML103,,,,3.31.2011
10g-1839-21@,Z009E0039,CML69,22,5,S,3.31.2011
10g-1839-22@,Z009E0039,CML69,21,4,S,3.31.2011
10g-1840-21@,Z004E0029,CML247,18,4,S,3.31.2011
10g-1840-22@,Z004E0029,CML247,16,4,S,3.31.2011
10g-1840-23@,Z004E0029,CML247,16,3,S,3.31.2011
10g-1840-24@,Z004E0029,CML247,16,3,S,3.31.2011
10g-1840-25@,Z004E0029,CML247,17,3,S,3.31.2011
10g-1841-21@,Z004E0082,CML247,16,4,S,3.31.2011
10g-1841-22@,Z004E0082,CML247,14,4,T,3.31.2011
10g-1841-23@,Z004E0082,CML247,,,,3.31.2011
10g-1841-24@,Z004E0082,CML247,,,,3.31.2011
10g-1842-21@,Z002E0152,CML103,17,4,S,3.31.2011
10g-1842-22@,Z002E0152,CML103,16,3,S,3.31.2011
10g-1842-23@,Z002E0152,CML103,17,3,S,3.31.2011
10g-1842-24@,Z002E0152,CML103,18,4,S,3.31.2011
10g-1843-21@,Z020E0049,NC350,14,4,T,3.31.2011
10g-1843-22@,Z020E0049,NC350,14,3,T,3.31.2011
10g-1843-23@,Z020E0049,NC350,14,3,S,3.31.2011
10g-1844-21@,Z018E0030,Mo18W,20,4,S,3.31.2011
10g-1844-22@,Z018E0030,Mo18W,16,3,S,3.31.2011
10g-1844-23@,Z018E0030,Mo18W,17,2,S,3.31.2011
10g-1845-21@,Z004E0175,CML247,16,5,S,3.31.2011
10g-1845-22@,Z004E0175,CML247,14,5,S,3.31.2011
10g-1845-23@,Z004E0175,CML247,14,3,S,3.31.2011
10g-1845-24@,Z004E0175,CML247,,,,3.31.2011
10g-1845-25@,Z004E0175,CML247,,,,3.31.2011
10g-1846-21@,Z026E0194,Tzi8,18,3,S,3.31.2011
10g-1846-22@,Z026E0194,Tzi8,,,,3.31.2011
10g-1847-21@,Z005E0185,CML277,14,3,T,3.31.2011
10g-1847-22@,Z005E0185,CML277,14,5,S,3.31.2011
10g-1847-23@,Z005E0185,CML277,14,5,S,3.31.2011
10g-1847-24@,Z005E0185,CML277,,,,3.31.2011
10g-1848-21@,Z015E0111,M162W,14,5,S,3.31.2011
10g-1848-22@,Z015E0111,M162W,15,3,S,3.31.2011
10g-1848-23@,Z015E0111,M162W,16,4,S,3.31.2011
10g-1848-24@,Z015E0111,M162W,,,,3.31.2011
10g-1849-21@,Z016E0038,M37W,16,5,S,3.31.2011
10g-1849-22@,Z016E0038,M37W,16,2,S,3.31.2011
10g-1850-21@,Z005E0075,CML277,12,5,S,3.31.2011
10g-1850-22@,Z005E0075,CML277,14,4,S,3.31.2011
10g-1850-23@,Z005E0075,CML277,12,2,S,3.31.2011
10g-1851-21@,Z002E0001,CML103,14,5,S,3.31.2011
10g-1851-22@,Z002E0001,CML103,14,5,S,3.31.2011
10g-1851-23@,Z002E0001,CML103,12,1,S,3.31.2011
10g-1852-21@,Z005E0099,CML277,16,4,S,3.31.2011
10g-1852-22@,Z005E0099,CML277,12,4,S,3.31.2011
10g-1852-23@,Z005E0099,CML277,16,5,S,3.31.2011
10g-1853-21@,Z009E0134,CML69,14,5,S,3.31.2011
10g-1853-22@,Z009E0134,CML69,12,5,S,3.31.2011
10g-1853-23@,Z009E0134,CML69,14,5,S,3.31.2011
10g-1853-24@,Z009E0134,CML69,14,5,S,3.31.2011
10g-1853-25@,Z009E0134,CML69,16,5,S,3.31.2011
10g-1854-21@,Z009E0069,CML69,12,5,S,3.31.2011
10g-1854-22@,Z009E0069,CML69,15,3,S,3.31.2011
10g-1854-23@,Z009E0069,CML69,14,5,S,3.31.2011
10g-1854-24@,Z009E0069,CML69,12,3,S,3.31.2011
10g-1855-21@,Z020E0040,NC350,18,3,S,3.31.2011
10g-1855-22@,Z020E0040,NC350,,,,3.31.2011
10g-1856-21@,Z025E0140,Tx303,16,5,S,3.31.2011
10g-1856-22@,Z025E0140,Tx303,18,5,S,3.31.2011
10g-1856-23@,Z025E0140,Tx303,16,5,S,3.31.2011
10g-1856-24@,Z025E0140,Tx303,16,5,S,3.31.2011
10g-1857-21@,Z008E0141,CML52,14,5,S,3.31.2011
10g-1857-22@,Z008E0141,CML52,16,5,S,3.31.2011
10g-1857-23@,Z008E0141,CML52,12,3,T,3.31.2011
10g-1857-24@,Z008E0141,CML52,15,4,S,3.31.2011
10g-1858-21@,Z016E0117,M37W,14,5,S,3.31.2011
10g-1858-22@,Z016E0117,M37W,14,3,S,3.31.2011
10g-1860-21@,Z016E0103,M37W,18,5,S,3.31.2011
10g-1860-22@,Z016E0103,M37W,18,5,S,3.31.2011
10g-1860-23@,Z016E0103,M37W,16,5,S,3.31.2011
10g-1861-21@,Z009E0082,CML69,12,4,S,3.31.2011
10g-1862-21@,Z008E0063,CML52,12,5,S,3.31.2011
10g-1862-22@,Z008E0063,CML52,14,5,S,3.31.2011
10g-1863-21@,Z005E0085,CML277,12,5,S,3.31.2011
10g-1863-22@,Z005E0085,CML277,12,5,S,3.31.2011
10g-1863-23@,Z005E0085,CML277,12,5,S,3.31.2011
10g-1863-24@,Z005E0085,CML277,12,5,S,3.31.2011
10g-1864-21@,Z009E0142,CML69,14,5,S,3.31.2011
10g-1865-21@,Z026E0089,Tzi8,14,4,T,3.31.2011
10g-1865-22@,Z026E0089,Tzi8,16,4,S,3.31.2011
10g-1866-21@,Z018E0029,Mo18W,14,5,S,3.31.2011
10g-1866-22@,Z018E0029,Mo18W,12,5,S,3.31.2011
10g-1866-23@,Z018E0029,Mo18W,14,3,S,3.31.2011
10g-1866-24@,Z018E0029,Mo18W,18,4,S,3.31.2011
10g-1867-21@,Z009E0005,CML69,12,5,S,3.31.2011
10g-1867-22@,Z009E0005,CML69,14,5,S,3.31.2011
10g-1867-23@,Z009E0005,CML69,14,5,S,3.31.2011
10g-1868-21@,Z005E0084,CML277,12,5,S,3.31.2011
10g-1868-22@,Z005E0084,CML277,12,5,S,3.31.2011
10g-1868-23@,Z005E0084,CML277,14,4,S,3.31.2011
10g-1868-24@,Z005E0084,CML277,12,4,S,3.31.2011
10g-1868-25@,Z005E0084,CML277,,,,3.31.2011
10g-1869-21@,Z009E0018,CML69,18,5,S,3.31.2011
10g-1869-22@,Z009E0018,CML69,14,5,S,3.31.2011
10g-1869-23@,Z009E0018,CML69,14,4,S,3.31.2011
10g-1869-24@,Z009E0018,CML69,16,5,S,3.31.2011
10g-1870-21@,Z002E0175,CML103,12,5,S,3.31.2011
10g-1870-22@,Z002E0175,CML103,12,4,S,3.31.2011
10g-1870-23@,Z002E0175,CML103,14,4,S,3.31.2011
10g-1870-24@,Z002E0175,CML103,,,,3.31.2011
10g-1871-21@,Z003E0098,CML228,14,3,T,3.31.2011
10g-1871-22@,Z003E0098,CML228,18,3,S,3.31.2011
10g-1871-23@,Z003E0098,CML228,14,2,S,3.31.2011
10g-1871-24@,Z003E0098,CML228,14,2,S,3.31.2011
10g-1872-21@,Z025E0195,Tx303,12,3,S,3.31.2011
10g-1872-22@,Z025E0195,Tx303,12,3,S,3.31.2011
10g-1873-21@,Z003E0071,CML228,18,5,S,3.31.2011
10g-1873-22@,Z003E0071,CML228,20,3,T,3.31.2011
10g-1873-23@,Z003E0071,CML228,20,3,T,3.31.2011
10g-1873-24@,Z003E0071,CML228,23,2,T,3.31.2011
10g-1874-21@,Z009E0100,CML69,14,5,S,3.31.2011
10g-1874-22@,Z009E0100,CML69,12,5,S,3.31.2011
10g-1874-23@,Z009E0100,CML69,12,5,S,3.31.2011
10g-1874-24@,Z009E0100,CML69,14,4,S,3.31.2011
10g-1875-21@,Z026E0055,Tzi8,14,3,T,3.31.2011
10g-1875-22@,Z026E0055,Tzi8,12,4,S,3.31.2011
10g-1875-23@,Z026E0055,Tzi8,12,5,S,3.31.2011
10g-1875-24@,Z026E0055,Tzi8,,,,3.31.2011
10g-1876-21@,Z025E0194,Tx303,12,4,S,3.31.2011
10g-1876-22@,Z025E0194,Tx303,16,5,S,3.31.2011
10g-1876-23@,Z025E0194,Tx303,14,4,S,3.31.2011
10g-1877-21@,Z025E0088,Tx303,16,4,S,3.31.2011
10g-1877-22@,Z025E0088,Tx303,18,3,S,3.31.2011
10g-1877-23@,Z025E0088,Tx303,15,2,S,3.31.2011
10g-1878-21@,Z008E0094,CML52,12,5,S,3.31.2011
10g-1878-22@,Z008E0094,CML52,14,5,S,3.31.2011
10g-1879-21@,Z026E0177,Tzi8,14,4,T,3.31.2011
10g-1879-22@,Z026E0177,Tzi8,14,4,T,3.31.2011
10g-1879-23@,Z026E0177,Tzi8,14,4,T,3.31.2011
10g-1879-24@,Z026E0177,Tzi8,14,3,T,3.31.2011
10g-1880-21@,Z023E0044,Oh7B,14,5,S,3.31.2011
10g-1880-22@,Z023E0044,Oh7B,16,5,S,3.31.2011
10g-1880-23@,Z023E0044,Oh7B,18,5,S,3.31.2011
10g-1880-24@,Z023E0044,Oh7B,16,5,S,3.31.2011
10g-1880-25@,Z023E0044,Oh7B,14,3,S,3.31.2011
10g-1881-21@,Z008E0115,CML52,16,5,S,3.31.2011
10g-1881-22@,Z008E0115,CML52,16,5,S,3.31.2011
10g-1881-23@,Z008E0115,CML52,18,4,S,3.31.2011
10g-1881-24@,Z008E0115,CML52,18,3,S,3.31.2011
10g-1882-21@,Z004E0190,CML247,20,5,S,3.31.2011
10g-1882-22@,Z004E0190,CML247,20,5,S,3.31.2011
10g-1882-23@,Z004E0190,CML247,18,5,S,3.31.2011
10g-1882-24@,Z004E0190,CML247,18,5,S,3.31.2011
10g-1882-25@,Z004E0190,CML247,20,5,S,3.31.2011
10g-1883-21@,Z004E0043,CML247,16,4,S,3.31.2011
10g-1883-22@,Z004E0043,CML247,14,5,S,3.31.2011
10g-1883-23@,Z004E0043,CML247,16,4,S,3.31.2011
10g-1883-24@,Z004E0043,CML247,,,,3.31.2011
10g-1884-21@,Z005E0069,CML277,12,4,S,3.31.2011
10g-1884-22@,Z005E0069,CML277,14,5,S,3.31.2011
10g-1884-23@,Z005E0069,CML277,12,5,S,3.31.2011
10g-1884-24@,Z005E0069,CML277,14,4,S,3.31.2011
10g-1884-25@,Z005E0069,CML277,,,,3.31.2011
10g-1885-21@,Z009E0001,CML69,16,5,S,3.31.2011
10g-1885-22@,Z009E0001,CML69,16,5,S,3.31.2011
10g-1885-23@,Z009E0001,CML69,14,4,S,3.31.2011
10g-1885-24@,Z009E0001,CML69,16,3,S,3.31.2011
10g-1886-21@,Z004E0057,CML247,14,5,S,3.31.2011
10g-1886-22@,Z004E0057,CML247,12,5,S,3.31.2011
10g-1886-23@,Z004E0057,CML247,14,3,S,3.31.2011
10g-1886-24@,Z004E0057,CML247,12,2,S,3.31.2011
10g-1886-25@,Z004E0057,CML247,,,,3.31.2011
10g-1887-21@,Z025E0106,Tx303,16,5,S,3.31.2011
10g-1887-22@,Z025E0106,Tx303,14,4,T,3.31.2011
10g-1887-23@,Z025E0106,Tx303,16,4,T,3.31.2011
10g-1887-24@,Z025E0106,Tx303,,,,3.31.2011
10g-1888-21@,Z026E0048,Tzi8,14,5,S,3.31.2011
10g-1888-22@,Z026E0048,Tzi8,14,5,S,3.31.2011
10g-1888-23@,Z026E0048,Tzi8,16,5,S,3.31.2011
10g-1888-24@,Z026E0048,Tzi8,14,4,S,3.31.2011
10g-1889-21@,Z004E0035,CML247,14,5,S,3.31.2011
10g-1889-22@,Z004E0035,CML247,14,2,S,3.31.2011
10g-1889-23@,Z004E0035,CML247,16,2,S,3.31.2011
10g-1890-21@,Z020E0142,NC350,14,5,S,3.31.2011
10g-1890-22@,Z020E0142,NC350,14,4,S,3.31.2011
10g-1891-21@,Z015E0144,M162W,12,3,S,3.31.2011
10g-1891-22@,Z015E0144,M162W,14,1,S,3.31.2011
10g-1891-23@,Z015E0144,M162W,,,,3.31.2011
10g-1891-24@,Z015E0144,M162W,,,,3.31.2011
10g-1892-21@,Z015E0174,M162W,14,5,S,3.31.2011
10g-1892-22@,Z015E0174,M162W,14,5,S,3.31.2011
10g-1892-23@,Z015E0174,M162W,12,4,T,3.31.2011
10g-1892-24@,Z015E0174,M162W,14,3,T,3.31.2011
10g-1892-25@,Z015E0174,M162W,,,,3.31.2011
10g-1893-21@,Z003E0088,CML228,12,5,S,3.31.2011
10g-1893-22@,Z003E0088,CML228,12,4,S,3.31.2011
10g-1893-23@,Z003E0088,CML228,12,2,S,3.31.2011
10g-1894-21@,Z015E0130,M162W,12,5,S,3.31.2011
10g-1894-22@,Z015E0130,M162W,13,3,S,3.31.2011
10g-1894-23@,Z015E0130,M162W,14,2,S,3.31.2011
10g-1894-24@,Z015E0130,M162W,,,,3.31.2011
10g-1895-21@,Z009E0196,CML69,16,5,S,3.31.2011
10g-1895-22@,Z009E0196,CML69,15,3,S,3.31.2011
10g-1895-23@,Z009E0196,CML69,16,3,S,3.31.2011
10g-1895-24@,Z009E0196,CML69,12,3,S,3.31.2011
10g-1896-21@,Z004E0085,CML247,14,4,T,3.31.2011
10g-1896-22@,Z004E0085,CML247,14,5,S,3.31.2011
10g-1896-23@,Z004E0085,CML247,14,1,T,3.31.2011
10g-1897-21@,Z009E0191,CML69,12,5,S,3.31.2011
10g-1897-22@,Z009E0191,CML69,14,5,S,3.31.2011
10g-1897-23@,Z009E0191,CML69,14,5,S,3.31.2011
10g-1897-24@,Z009E0191,CML69,10,4,S,3.31.2011
10g-1898-21@,Z008E0088,CML52,16,5,S,3.31.2011
10g-1898-22@,Z008E0088,CML52,18,4,T,3.31.2011
10g-1898-23@,Z008E0088,CML52,18,4,T,3.31.2011
10g-1899-21@,Z008E0064,CML52,18,5,S,3.31.2011
10g-1899-22@,Z008E0064,CML52,18,4,T,3.31.2011
10g-1899-23@,Z008E0064,CML52,16,2,S,3.31.2011
10g-1899-24@,Z008E0064,CML52,16,1,S,3.31.2011
10g-1899-25@,Z008E0064,CML52,,,,3.31.2011
10g-1900-21@,Z015E0096,M162W,14,5,S,3.31.2011
10g-1900-22@,Z015E0096,M162W,16,5,S,3.31.2011
10g-1900-23@,Z015E0096,M162W,,,,3.31.2011
10g-1901-21@,Z006E0160,CML322,16,3,S,3.31.2011
10g-1902-21@,Z004E0145,CML247,16,5,S,3.31.2011
10g-1902-22@,Z004E0145,CML247,14,4,T,3.31.2011
10g-1902-23@,Z004E0145,CML247,16,5,S,3.31.2011
10g-1902-24@,Z004E0145,CML247,,,,3.31.2011
10g-1903-21@,Z006E0027,CML322,18,5,S,3.31.2011
10g-1903-22@,Z006E0027,CML322,16,5,S,3.31.2011
10g-1903-23@,Z006E0027,CML322,16,4,T,3.31.2011
10g-1903-24@,Z006E0027,CML322,18,5,S,3.31.2011
10g-1903-25@,Z006E0027,CML322,,,,3.31.2011
10g-1904-21@,Z015E0068,M162W,16,4,S,3.31.2011
10g-1904-22@,Z015E0068,M162W,14,5,S,3.31.2011
10g-1904-23@,Z015E0068,M162W,14,3,S,3.31.2011
10g-1905-21@,Z008E0013,CML52,14,5,S,3.31.2011
10g-1905-22@,Z008E0013,CML52,14,5,S,3.31.2011
10g-1905-23@,Z008E0013,CML52,14,5,S,3.31.2011
10g-1905-24@,Z008E0013,CML52,16,4,S,3.31.2011
10g-1905-25@,Z008E0013,CML52,,,,3.31.2011
10g-1906-21@,Z004E0050,CML247,16,4,T,3.31.2011
10g-1906-22@,Z004E0050,CML247,16,4,T,3.31.2011
10g-1906-23@,Z004E0050,CML247,16,4,T,3.31.2011
10g-1906-24@,Z004E0050,CML247,16,3,S,3.31.2011
10g-1907-21@,Z004E0156,CML247,14,5,S,3.31.2011
10g-1907-22@,Z004E0156,CML247,14,5,S,3.31.2011
10g-1907-23@,Z004E0156,CML247,14,3,T,3.31.2011
10g-1908-21@,Z009E0163,CML69,16,5,S,3.31.2011
10g-1908-22@,Z009E0163,CML69,16,5,S,3.31.2011
10g-1908-23@,Z009E0163,CML69,,,,3.31.2011
10g-1909-21@,Z026E0136,Tzi8,16,4,S,3.31.2011
10g-1909-22@,Z026E0136,Tzi8,18,5,S,3.31.2011
10g-1909-23@,Z026E0136,Tzi8,16,1,T,3.31.2011
10g-1910-21@,Z009E0065,CML69,12,5,S,3.31.2011
10g-1910-22@,Z009E0065,CML69,14,5,S,3.31.2011
10g-1910-23@,Z009E0065,CML69,14,5,S,3.31.2011
10g-1911-21@,Z008E0143,CML52,14,5,S,3.31.2011
10g-1911-22@,Z008E0143,CML52,,,,3.31.2011
10g-1912-21@,Z026E0178,Tzi8,14,4,S,3.31.2011
10g-1912-22@,Z026E0178,Tzi8,12,5,S,3.31.2011
10g-1912-23@,Z026E0178,Tzi8,14,4,T,3.31.2011
10g-1912-24@,Z026E0178,Tzi8,14,4,T,3.31.2011
10g-1914-21@,Z004E0047,CML247,20,5,S,3.31.2011
10g-1914-22@,Z004E0047,CML247,17,1,S,3.31.2011
10g-1914-23@,Z004E0047,CML247,,,,3.31.2011
10g-1915-21@,Z006E0012,CML322,18,4,T,3.31.2011
10g-1915-22@,Z006E0012,CML322,18,4,S,3.31.2011
10g-1917-21@,Z009E0188,CML69,16,5,S,3.31.2011
10g-1918-21@,Z020E0024,NC350,18,3,S,3.31.2011
10g-1918-22@,Z020E0024,NC350,,,,3.31.2011
10g-1919-21@,Z018E0032,Mo18W,14,4,S,3.31.2011
10g-1919-22@,Z018E0032,Mo18W,16,3,S,3.31.2011
10g-1920-21@,Z026E0137,Tzi8,12,5,S,3.31.2011
10g-1920-22@,Z026E0137,Tzi8,12,3,S,3.31.2011
10g-1920-23@,Z026E0137,Tzi8,14,2,S,3.31.2011
10g-1921-21@,Z008E0041,CML52,14,4,T,3.31.2011
10g-1921-22@,Z008E0041,CML52,,,,3.31.2011
10g-1921-23@,Z008E0041,CML52,,,,3.31.2011
10g-1922-21@,Z008E0123,CML52,16,5,S,3.31.2011
10g-1922-22@,Z008E0123,CML52,16,5,S,3.31.2011
10g-1922-23@,Z008E0123,CML52,16,5,S,3.31.2011
10g-1922-24@,Z008E0123,CML52,16,5,S,3.31.2011
10g-1923-21@,Z004E0012,CML247,16,4,T,3.31.2011
10g-1923-22@,Z004E0012,CML247,16,2,T,3.31.2011
10g-1924-21@,Z009E0122,CML69,16,4,T,3.31.2011
10g-1924-22@,Z009E0122,CML69,16,5,S,3.31.2011
10g-1924-23@,Z009E0122,CML69,12,5,S,3.31.2011
10g-1925-21@,Z005E0073,CML277,12,5,S,3.31.2011
10g-1925-22@,Z005E0073,CML277,12,5,S,3.31.2011
10g-1925-23@,Z005E0073,CML277,14,4,S,3.31.2011
10g-1925-24@,Z005E0073,CML277,14,2,S,3.31.2011
10g-1926-21@,Z005E0018,CML277,12,5,S,3.31.2011
10g-1927-21@,Z004E0144,CML247,16,5,S,3.31.2011
10g-1927-22@,Z004E0144,CML247,14,5,S,3.31.2011
10g-1927-23@,Z004E0144,CML247,14,5,S,3.31.2011
10g-1927-24@,Z004E0144,CML247,18,3,S,3.31.2011
10g-1927-25@,Z004E0144,CML247,16,5,S,3.31.2011
10g-1928-21@,Z003E0195,CML228,16,4,S,3.31.2011
10g-1928-22@,Z003E0195,CML228,12,4,S,3.31.2011
10g-1928-23@,Z003E0195,CML228,,,,3.31.2011
10g-1929-21@,Z015E0047,M162W,18,5,S,3.31.2011
10g-1929-22@,Z015E0047,M162W,14,4,S,3.31.2011
10g-1929-23@,Z015E0047,M162W,16,4,S,3.31.2011
10g-1929-24@,Z015E0047,M162W,,,,3.31.2011
10g-1930-21@,Z016E0198,M37W,20,4,T,3.31.2011
10g-1930-22@,Z016E0198,M37W,18,3,S,3.31.2011
10g-1930-23@,Z016E0198,M37W,18,3,S,3.31.2011
10g-1930-24@,Z016E0198,M37W,,,,3.31.2011
10g-1931-21@,Z009E0119,CML69,14,5,S,3.31.2011
10g-1931-22@,Z009E0119,CML69,10,5,S,3.31.2011
10g-1931-23@,Z009E0119,CML69,10,3,S,3.31.2011
10g-1932-21@,Z003E0075,CML228,14,2,S,3.31.2011
10g-1932-22@,Z003E0075,CML228,18,2,S,3.31.2011
10g-1932-23@,Z003E0075,CML228,,,,3.31.2011
10g-1932-24@,Z003E0075,CML228,,,,3.31.2011
10g-1933-21@,Z008E0155,CML52,12,5,S,3.31.2011
10g-1933-22@,Z008E0155,CML52,14,5,S,3.31.2011
10g-1933-23@,Z008E0155,CML52,12,5,S,3.31.2011
10g-1933-24@,Z008E0155,CML52,12,5,S,3.31.2011
10g-1933-25@,Z008E0155,CML52,12,5,S,3.31.2011
10g-1934-21@,Z005E0023,CML277,12,3,S,3.31.2011
10g-1935-21@,Z004E0134,CML247,18,4,S,3.31.2011
10g-1935-22@,Z004E0134,CML247,18,2,S,3.31.2011
10g-1935-23@,Z004E0134,CML247,14,2,S,3.31.2011
10g-1935-24@,Z004E0134,CML247,16,2,S,3.31.2011
10g-1935-25@,Z004E0134,CML247,,,,3.31.2011
10g-1937-21@,Z009E0180,CML69,14,4,S,3.31.2011
10g-1937-22@,Z009E0180,CML69,16,4,S,3.31.2011
10g-1937-23@,Z009E0180,CML69,16,2,S,3.31.2011
10g-1938-21@,Z018E0150,Mo18W,18,4,T,3.31.2011
