order,Pedigree,Genotype,Note,KRN,QS,ST
123,10NAM-71-21@,Z018E0064,Mo18W,14,2,S
124,10NAM-71-22@,Z018E0064,Mo18W,14,3,S
125,10NAM-71-23@,Z018E0064,Mo18W,16,2,S
126,10NAM-72-21@,Z018E0065,Mo18W,20,2,S
127,10NAM-72-22@,Z018E0065,Mo18W,20,3,S
128,10NAM-72-23@,Z018E0065,Mo18W,18,4,S
129,10NAM-72-24@,Z018E0065,Mo18W,18,5,S
130,10NAM-72-25@,Z018E0065,Mo18W,18,4,S
131,10NAM-73-21@,Z018E0066,Mo18W,16,3,T
132,10NAM-74-21@,Z018E0067,Mo18W,20,3,T
133,10NAM-74-22@,Z018E0067,Mo18W,22,3,T
134,10NAM-74-23@,Z018E0067,Mo18W,21,4,T
135,10NAM-75-21@,Z018E0068,Mo18W,16,1,S
136,10NAM-75-22@,Z018E0068,Mo18W,14,3,T
137,10NAM-75-23@,Z018E0068,Mo18W,16,2,S
138,10NAM-77-21@,Z018E0070,Mo18W,12,2,S
139,10NAM-77-22@,Z018E0070,Mo18W,12,2,S
140,10NAM-78-21@,Z018E0071,Mo18W,20,4,S
141,10NAM-78-22@,Z018E0071,Mo18W,20,3,S
142,10NAM-79-21@,Z018E0072,Mo18W,18,4,S
143,10NAM-79-22@,Z018E0072,Mo18W,16,4,T
144,10NAM-80-21@,Z018E0073,Mo18W,16,2,T
145,10NAM-80-22@,Z018E0073,Mo18W,16,3,T
146,10NAM-81-21@,Z018E0074,Mo18W,16,2,S
147,10NAM-81-22@,Z018E0074,Mo18W,14,2,S
148,10NAM-82-21@,Z018E0075,Mo18W,16,3,S
149,10NAM-82-22@,Z018E0075,Mo18W,14,4,S
150,10NAM-82-23@,Z018E0075,Mo18W,14,4,S
151,10NAM-83-21@,Z018E0076,Mo18W,16,5,S
152,10NAM-83-22@,Z018E0076,Mo18W,16,4,T
153,10NAM-83-23@,Z018E0076,Mo18W,14,3,T
154,10NAM-83-24@,Z018E0076,Mo18W,16,2,S
155,10NAM-84-21@,Z018E0077,Mo18W,14,3,S
156,10NAM-84-22@,Z018E0077,Mo18W,14,1,S
157,10NAM-84-23@,Z018E0077,Mo18W,14,1,S
158,10NAM-85-21@,Z018E0078,Mo18W,18,3,S
159,10NAM-87-21@,Z018E0080,Mo18W,18,3,S
160,10NAM-87-22@,Z018E0080,Mo18W,18,3,S
161,10NAM-88-21@,Z018E0081,Mo18W,21,4,T
162,10NAM-88-22@,Z018E0081,Mo18W,16,3,T
163,10NAM-88-23@,Z018E0081,Mo18W,20,4,T
164,10NAM-89-21@,Z018E0082,Mo18W,21,4,T
165,10NAM-89-22@,Z018E0082,Mo18W,18,2,T
166,10NAM-90-21@,Z018E0083,Mo18W,15,3,T
167,10NAM-90-22@,Z018E0083,Mo18W,16,2,S
168,10NAM-90-23@,Z018E0083,Mo18W,14,3,S
169,10NAM-90-24@,Z018E0083,Mo18W,15,3,S
170,10NAM-91-21@,Z018E0084,Mo18W,16,4,S
