order,Pedigree,Genotype,Note,KRN,QS,ST
511,10NAM-211-21@,Z015E0003,M162W,16,4,T
512,10NAM-211-22@,Z015E0003,M162W,16,4,T
513,10NAM-211-23@,Z015E0003,M162W,16,3,T
514,10NAM-212-21@,Z015E0004,M162W,12,4,T
515,10NAM-212-22@,Z015E0004,M162W,12,5,S
516,10NAM-212-23@,Z015E0004,M162W,12,4,S
517,10NAM-213-21@,Z015E0005,M162W,16,4,S
518,10NAM-213-22@,Z015E0005,M162W,12,3,S
519,10NAM-214-21@,Z015E0006,M162W,14,1,S
520,10NAM-215-21@,Z015E0007,M162W,12,2,S
521,10NAM-215-22@,Z015E0007,M162W,12,1,S
523,10NAM-216-21@,Z015E0008,M162W,12,4,S
524,10NAM-216-22@,Z015E0008,M162W,14,3,S
525,10NAM-216-23@,Z015E0008,M162W,14,4,T
526,10NAM-216-24@,Z015E0008,M162W,16,4,S
527,10NAM-217-21@,Z015E0009,M162W,16,3,T
528,10NAM-217-22@,Z015E0009,M162W,14,3,T
529,10NAM-217-23@,Z015E0009,M162W,16,3,T
531,10NAM-218-21@,Z015E0010,M162W,14,5,S
533,10NAM-219-21@,Z015E0011,M162W,14,3,S
534,10NAM-219-22@,Z015E0011,M162W,16,3,S
535,10NAM-219-23@,Z015E0011,M162W,16,1,S
537,10NAM-220-21@,Z015E0012,M162W,14,5,S
538,10NAM-220-22@,Z015E0012,M162W,14,3,T
540,10NAM-222-21@,Z015E0014,M162W,14,1,S
541,10NAM-222-22@,Z015E0014,M162W,16,4,S
542,10NAM-223-21@,Z015E0015,M162W,14,1,S
543,10NAM-223-22@,Z015E0015,M162W,16,1,S
544,10NAM-224-21@,Z015E0016,M162W,14,3,S
545,10NAM-224-22@,Z015E0016,M162W,12,2,S
546,10NAM-224-23@,Z015E0016,M162W,14,4,S
547,10NAM-225-21@,Z015E0017,M162W,16,4,S
549,10NAM-227-21@,Z015E0020,M162W,12,2,T
550,10NAM-227-22@,Z015E0020,M162W,14,3,T
551,10NAM-227-23@,Z015E0020,M162W,12,5,S
552,10NAM-227-24@,Z015E0020,M162W,12,4,S
553,10NAM-228-21@,Z015E0021,M162W,18,1,S
554,10NAM-228-22@,Z015E0021,M162W,20,4,T
555,10NAM-228-23@,Z015E0021,M162W,18,5,S
556,10NAM-228-24@,Z015E0021,M162W,17,1,S
557,10NAM-228-25@,Z015E0021,M162W,17,2,S
558,10NAM-229-21@,Z015E0022,M162W,17,3,T
559,10NAM-229-22@,Z015E0022,M162W,16,4,S
560,10NAM-229-23@,Z015E0022,M162W,15,2,S
561,10NAM-230-21@,Z015E0023,M162W,16,1,S
562,10NAM-230-22@,Z015E0023,M162W,14,1,S
563,10NAM-231-21@,Z015E0024,M162W,16,5,S
564,10NAM-231-22@,Z015E0024,M162W,16,2,S
565,10NAM-231-23@,Z015E0024,M162W,18,3,S
567,10NAM-232-21@,Z015E0025,M162W,16,5,S
568,10NAM-232-22@,Z015E0025,M162W,16,5,S
569,10NAM-232-23@,Z015E0025,M162W,14,2,S
570,10NAM-233-21@,Z015E0026,M162W,14,5,S
571,10NAM-233-22@,Z015E0026,M162W,16,1,S
572,10NAM-234-21@,Z015E0027,M162W,12,3,S
573,10NAM-234-22@,Z015E0027,M162W,14,4,S
574,10NAM-235-21@,Z015E0028,M162W,14,1,S
575,10NAM-236-21@,Z015E0029,M162W,14,5,S
576,10NAM-236-22@,Z015E0029,M162W,14,3,T
577,10NAM-237-21@,Z015E0030,M162W,14,2,T
578,10NAM-238-21@,Z015E0031,M162W,12,4,S
579,10NAM-238-22@,Z015E0031,M162W,12,1,S
580,10NAM-238-23@,Z015E0031,M162W,11,5,S
581,10NAM-238-24@,Z015E0031,M162W,12,1,S
582,10NAM-239-21@,Z015E0032,M162W,16,4,S
583,10NAM-239-22@,Z015E0032,M162W,14,3,S
585,10NAM-240-21@,Z015E0033,M162W,14,4,T
586,10NAM-240-22@,Z015E0033,M162W,12,2,T
588,10NAM-241-21@,Z015E0034,M162W,14,3,T
589,10NAM-241-22@,Z015E0034,M162W,14,3,S
590,10NAM-241-23@,Z015E0034,M162W,16,3,S
591,10NAM-242-21@,Z015E0035,M162W,16,2,S
592,10NAM-242-22@,Z015E0035,M162W,16,3,S
593,10NAM-243-21@,Z015E0036,M162W,12,1,S
594,10NAM-243-22@,Z015E0036,M162W,13,3,S
595,10NAM-243-23@,Z015E0036,M162W,13,4,T
596,10NAM-243-24@,Z015E0036,M162W,14,2,T
597,10NAM-244-21@,Z015E0037,M162W,14,1,S
598,10NAM-244-22@,Z015E0037,M162W,15,1,S
600,10NAM-245-21@,Z015E0038,M162W,18,4,T
601,10NAM-245-22@,Z015E0038,M162W,16,3,T
603,10NAM-246-21@,Z015E0039,M162W,14,2,S
604,10NAM-246-22@,Z015E0039,M162W,14,2,S
606,10NAM-247-21@,Z015E0040,M162W,12,2,S
607,10NAM-247-22@,Z015E0040,M162W,14,4,S
608,10NAM-247-23@,Z015E0040,M162W,12,1,S
612,10NAM-249-21@,Z015E0042,M162W,18,5,S
613,10NAM-249-22@,Z015E0042,M162W,16,5,S
614,10NAM-249-23@,Z015E0042,M162W,16,4,S
615,10NAM-250-21@,Z015E0043,M162W,16,2,S
616,10NAM-250-22@,Z015E0043,M162W,16,4,S
617,10NAM-250-23@,Z015E0043,M162W,14,2,S
618,10NAM-251-21@,Z015E0044,M162W,14,5,T
619,10NAM-251-22@,Z015E0044,M162W,14,3,T
621,10NAM-252-21@,Z015E0045,M162W,15,1,S
622,10NAM-252-22@,Z015E0045,M162W,17,4,S
623,10NAM-252-23@,Z015E0045,M162W,14,5,S
624,10NAM-252-24@,Z015E0045,M162W,16,4,S
626,10NAM-255-21@,Z015E0048,M162W,14,5,S
627,10NAM-255-22@,Z015E0048,M162W,12,4,S
629,10NAM-256-21@,Z015E0049,M162W,16,4,S
630,10NAM-256-22@,Z015E0049,M162W,14,2,T
631,10NAM-257-21@,Z015E0050,M162W,14,2,S
632,10NAM-257-22@,Z015E0050,M162W,14,3,S
635,10NAM-258-21@,Z015E0051,M162W,14,1,S
638,10NAM-259-21@,Z015E0052,M162W,14,2,S
639,10NAM-259-22@,Z015E0052,M162W,14,2,S
640,10NAM-259-23@,Z015E0052,M162W,14,2,S
641,10NAM-259-24@,Z015E0052,M162W,,,
642,10NAM-259-25@,Z015E0052,M162W,,,
643,10NAM-260-21@,Z015E0053,M162W,17,2,S
644,10NAM-260-22@,Z015E0053,M162W,18,5,S
645,10NAM-260-23@,Z015E0053,M162W,18,5,S
646,10NAM-260-24@,Z015E0053,M162W,18,3,T
647,10NAM-261-21@,Z015E0054,M162W,16,1,S
648,10NAM-261-22@,Z015E0054,M162W,16,4,S
649,10NAM-261-23@,Z015E0054,M162W,13,3,S
650,10NAM-261-24@,Z015E0054,M162W,,,
651,10NAM-262-21@,Z015E0055,M162W,18,2,S
652,10NAM-262-22@,Z015E0055,M162W,17,2,S
653,10NAM-262-23@,Z015E0055,M162W,16,3,S
655,10NAM-263-21@,Z015E0056,M162W,16,3,S
656,10NAM-263-22@,Z015E0056,M162W,14,5,S
657,10NAM-264-21@,Z015E0057,M162W,12,2,S
658,10NAM-264-22@,Z015E0057,M162W,14,2,S
660,10NAM-265-21@,Z015E0058,M162W,16,1,S
662,10NAM-266-21@,Z015E0059,M162W,12,3,S
663,10NAM-266-22@,Z015E0059,M162W,14,3,T
664,10NAM-266-23@,Z015E0059,M162W,14,4,S
665,10NAM-266-24@,Z015E0059,M162W,,,
667,10NAM-267-21@,Z015E0060,M162W,14,5,S
668,10NAM-267-22@,Z015E0060,M162W,12,2,S
669,10NAM-267-23@,Z015E0060,M162W,14,4,S
671,10NAM-268-21@,Z015E0061,M162W,14,2,S
672,10NAM-268-22@,Z015E0061,M162W,12,5,S
674,10NAM-269-21@,Z015E0062,M162W,16,5,S
675,10NAM-269-22@,Z015E0062,M162W,16,5,S
676,10NAM-269-23@,Z015E0062,M162W,14,4,T
677,10NAM-270-21@,Z015E0063,M162W,12,1,S
678,10NAM-270-22@,Z015E0063,M162W,14,3,S
680,10NAM-271-21@,Z015E0064,M162W,14,2,S
681,10NAM-271-22@,Z015E0064,M162W,14,4,S
682,10NAM-272-21@,Z015E0065,M162W,16,1,S
683,10NAM-272-22@,Z015E0065,M162W,14,5,S
685,10NAM-274-21@,Z015E0067,M162W,14,2,T
686,10NAM-274-22@,Z015E0067,M162W,14,4,S
687,10NAM-276-21@,Z015E0069,M162W,12,3,T
688,10NAM-276-22@,Z015E0069,M162W,12,3,S
689,10NAM-276-23@,Z015E0069,M162W,14,3,S
691,10NAM-277-21@,Z015E0070,M162W,16,4,S
692,10NAM-277-22@,Z015E0070,M162W,14,4,S
693,10NAM-279-21@,Z015E0072,M162W,14,4,T
694,10NAM-279-22@,Z015E0072,M162W,14,3,S
695,10NAM-280-21@,Z015E0073,M162W,14,4,S
696,10NAM-282-21@,Z015E0075,M162W,12,3,S
698,10NAM-283-21@,Z015E0076,M162W,18,2,S
699,10NAM-283-22@,Z015E0076,M162W,16,2,S
700,10NAM-283-23@,Z015E0076,M162W,16,4,T
701,10NAM-283-24@,Z015E0076,M162W,16,2,S
702,10NAM-283-25@,Z015E0076,M162W,18,1,S
703,10NAM-284-21@,Z015E0077,M162W,16,4,S
704,10NAM-284-22@,Z015E0077,M162W,18,3,T
705,10NAM-285-21@,Z015E0078,M162W,16,3,S
706,10NAM-285-22@,Z015E0078,M162W,16,3,S
707,10NAM-286-21@,Z015E0079,M162W,10,3,T
708,10NAM-287-21@,Z015E0080,M162W,14,4,S
709,10NAM-287-22@,Z015E0080,M162W,16,5,S
710,10NAM-288-21@,Z015E0081,M162W,14,1,S
711,10NAM-288-22@,Z015E0081,M162W,12,5,S
712,10NAM-288-23@,Z015E0081,M162W,12,4,S
713,10NAM-289-21@,Z015E0082,M162W,18,5,S
714,10NAM-289-22@,Z015E0082,M162W,18,4,S
716,10NAM-290-21@,Z015E0083,M162W,15,1,S
717,10NAM-291-21@,Z015E0084,M162W,18,5,S
718,10NAM-291-22@,Z015E0084,M162W,,,
719,10NAM-292-21@,Z015E0085,M162W,16,4,T
720,10NAM-292-22@,Z015E0085,M162W,17,3,S
721,10NAM-292-23@,Z015E0085,M162W,17,3,T
722,10NAM-292-24@,Z015E0085,M162W,18,1,S
723,10NAM-293-21@,Z015E0086,M162W,16,1,S
725,10NAM-294-21@,Z015E0088,M162W,12,3,S
726,10NAM-294-22@,Z015E0088,M162W,14,4,S
727,10NAM-294-23@,Z015E0088,M162W,,,
728,10NAM-295-21@,Z015E0089,M162W,12,4,T
729,10NAM-296-21@,Z015E0090,M162W,14,1,T
730,10NAM-296-22@,Z015E0090,M162W,16,3,T
731,10NAM-297-21@,Z015E0091,M162W,16,4,T
732,10NAM-297-22@,Z015E0091,M162W,14,3,T
733,10NAM-297-23@,Z015E0091,M162W,12,2,T
734,10NAM-298-21@,Z015E0092,M162W,14,4,S
735,10NAM-298-22@,Z015E0092,M162W,,,
736,10NAM-299-21@,Z015E0093,M162W,15,3,T
737,10NAM-299-22@,Z015E0093,M162W,12,4,T
738,10NAM-300-21@,Z015E0094,M162W,16,4,T
739,10NAM-301-21@,Z015E0095,M162W,12,1,S
740,10NAM-301-22@,Z015E0095,M162W,14,5,S
741,10NAM-303-21@,Z015E0097,M162W,16,5,S
742,10NAM-303-22@,Z015E0097,M162W,16,2,S
743,10NAM-304-21@,Z015E0099,M162W,14,3,S
744,10NAM-304-22@,Z015E0099,M162W,12,2,S
745,10NAM-304-23@,Z015E0099,M162W,12,1,S
746,10NAM-304-24@,Z015E0099,M162W,16,3,T
747,10NAM-305-21@,Z015E0100,M162W,14,4,S
748,10NAM-305-22@,Z015E0100,M162W,12,3,S
749,10NAM-305-23@,Z015E0100,M162W,12,5,S
750,10NAM-305-24@,Z015E0100,M162W,14,4,S
751,10NAM-306-21@,Z015E0101,M162W,12,1,S
753,10NAM-307-21@,Z015E0102,M162W,14,4,T
754,10NAM-307-22@,Z015E0102,M162W,14,5,T
755,10NAM-307-23@,Z015E0102,M162W,14,3,T
756,10NAM-307-24@,Z015E0102,M162W,16,5,S
757,10NAM-308-21@,Z015E0103,M162W,14,4,T
758,10NAM-308-22@,Z015E0103,M162W,14,4,T
759,10NAM-308-23@,Z015E0103,M162W,12,3,T
761,10NAM-309-21@,Z015E0104,M162W,15,3,S
762,10NAM-309-22@,Z015E0104,M162W,12,4,S
763,10NAM-309-23@,Z015E0104,M162W,14,2,S
764,10NAM-310-21@,Z015E0105,M162W,16,5,S
765,10NAM-310-22@,Z015E0105,M162W,12,5,S
766,10NAM-310-23@,Z015E0105,M162W,12,3,S
767,10NAM-311-21@,Z015E0106,M162W,12,3,S
768,10NAM-311-22@,Z015E0106,M162W,12,2,S
769,10NAM-312-21@,Z015E0107,M162W,14,3,S
770,10NAM-312-22@,Z015E0107,M162W,16,4,S
771,10NAM-313-21@,Z015E0109,M162W,14,3,T
772,10NAM-313-22@,Z015E0109,M162W,12,5,S
773,10NAM-313-23@,Z015E0109,M162W,12,5,S
774,10NAM-314-21@,Z015E0110,M162W,12,5,S
775,10NAM-314-22@,Z015E0110,M162W,12,5,S
776,10NAM-314-23@,Z015E0110,M162W,12,5,S
778,10NAM-316-21@,Z015E0114,M162W,14,5,S
779,10NAM-316-22@,Z015E0114,M162W,14,4,T
780,10NAM-316-23@,Z015E0114,M162W,12,3,T
782,10NAM-317-21@,Z015E0116,M162W,16,5,S
783,10NAM-317-22@,Z015E0116,M162W,16,4,S
784,10NAM-317-23@,Z015E0116,M162W,18,4,T
785,10NAM-318-21@,Z015E0118,M162W,14,3,S
786,10NAM-318-22@,Z015E0118,M162W,16,4,T
787,10NAM-319-21@,Z015E0119,M162W,14,2,T
788,10NAM-319-22@,Z015E0119,M162W,12,5,S
789,10NAM-319-23@,Z015E0119,M162W,12,2,T
791,10NAM-320-21@,Z015E0120,M162W,14,2,S
792,10NAM-321-21@,Z015E0123,M162W,17,3,S
793,10NAM-321-22@,Z015E0123,M162W,16,3,S
794,10NAM-322-21@,Z015E0124,M162W,18,5,S
795,10NAM-322-22@,Z015E0124,M162W,14,3,S
796,10NAM-323-21@,Z015E0125,M162W,16,2,T
797,10NAM-323-22@,Z015E0125,M162W,16,3,T
798,10NAM-324-21@,Z015E0126,M162W,16,5,S
800,10NAM-325-21@,Z015E0127,M162W,14,4,S
801,10NAM-325-22@,Z015E0127,M162W,16,2,S
803,10NAM-326-21@,Z015E0128,M162W,14,4,T
804,10NAM-329-21@,Z015E0131,M162W,12,1,S
805,10NAM-329-22@,Z015E0131,M162W,14,3,T
806,10NAM-330-21@,Z015E0132,M162W,16,2,T
807,10NAM-330-22@,Z015E0132,M162W,18,4,S
808,10NAM-331-21@,Z015E0133,M162W,20,4,T
809,10NAM-332-21@,Z015E0134,M162W,18,2,S
810,10NAM-332-22@,Z015E0134,M162W,16,4,S
813,10NAM-333-21@,Z015E0135,M162W,20,4,S
815,10NAM-334-21@,Z015E0136,M162W,14,3,S
816,10NAM-334-22@,Z015E0136,M162W,12,5,S
817,10NAM-334-23@,Z015E0136,M162W,12,5,S
818,10NAM-334-24@,Z015E0136,M162W,12,5,S
819,10NAM-335-21@,Z015E0137,M162W,12,3,S
820,10NAM-336-21@,Z015E0138,M162W,14,4,S
821,10NAM-337-21@,Z015E0139,M162W,18,4,S
822,10NAM-337-22@,Z015E0139,M162W,16,2,S
823,10NAM-338-21@,Z015E0140,M162W,14,2,S
824,10NAM-339-21@,Z015E0141,M162W,16,3,T
825,10NAM-339-22@,Z015E0141,M162W,15,3,T
826,10NAM-340-21@,Z015E0142,M162W,16,5,S
827,10NAM-340-22@,Z015E0142,M162W,16,5,S
829,10NAM-341-21@,Z015E0143,M162W,14,3,T
832,10NAM-344-21@,Z015E0146,M162W,10,2,T
833,10NAM-345-21@,Z015E0147,M162W,12,2,S
836,10NAM-346-21@,Z015E0148,M162W,22,2,S
837,10NAM-346-22@,Z015E0148,M162W,16,5,S
838,10NAM-346-23@,Z015E0148,M162W,16,4,T
840,10NAM-347-21@,Z015E0149,M162W,16,2,S
841,10NAM-347-22@,Z015E0149,M162W,14,1,S
842,10NAM-348-21@,Z015E0150,M162W,14,3,S
843,10NAM-348-22@,Z015E0150,M162W,16,3,T
844,10NAM-349-21@,Z015E0151,M162W,16,4,T
845,10NAM-349-22@,Z015E0151,M162W,20,4,T
847,10NAM-350-21@,Z015E0152,M162W,16,1,S
848,10NAM-350-22@,Z015E0152,M162W,15,2,S
850,10NAM-351-21@,Z015E0153,M162W,16,2,T
851,10NAM-351-22@,Z015E0153,M162W,16,2,T
854,10NAM-352-21@,Z015E0154,M162W,16,4,T
855,10NAM-352-22@,Z015E0154,M162W,15,2,T
856,10NAM-354-21@,Z015E0156,M162W,16,3,T
857,10NAM-354-22@,Z015E0156,M162W,16,5,S
858,10NAM-354-23@,Z015E0156,M162W,16,2,S
860,10NAM-355-21@,Z015E0157,M162W,16,4,T
861,10NAM-355-22@,Z015E0157,M162W,14,4,T
862,10NAM-356-21@,Z015E0158,M162W,14,3,T
863,10NAM-356-22@,Z015E0158,M162W,16,3,T
864,10NAM-356-23@,Z015E0158,M162W,16,2,T
865,10NAM-356-24@,Z015E0158,M162W,14,3,T
866,10NAM-356-25@,Z015E0158,M162W,14,2,T
867,10NAM-357-21@,Z015E0159,M162W,16,3,T
868,10NAM-357-22@,Z015E0159,M162W,14,4,T
870,10NAM-358-21@,Z015E0160,M162W,16,3,T
871,10NAM-358-22@,Z015E0160,M162W,16,3,T
872,10NAM-359-21@,Z015E0161,M162W,15,3,T
873,10NAM-359-22@,Z015E0161,M162W,14,4,T
876,10NAM-360-21@,Z015E0162,M162W,12,5,S
877,10NAM-360-22@,Z015E0162,M162W,14,5,S
878,10NAM-360-23@,Z015E0162,M162W,14,2,S
879,10NAM-360-24@,Z015E0162,M162W,16,5,S
880,10NAM-360-25@,Z015E0162,M162W,15,4,S
881,10NAM-361-21@,Z015E0163,M162W,20,4,T
882,10NAM-361-22@,Z015E0163,M162W,16,4,T
883,10NAM-361-23@,Z015E0163,M162W,18,3,T
884,10NAM-361-24@,Z015E0163,M162W,18,4,T
886,10NAM-363-21@,Z015E0165,M162W,13,3,T
887,10NAM-365-21@,Z015E0167,M162W,13,4,S
888,10NAM-365-22@,Z015E0167,M162W,15,4,S
889,10NAM-366-21@,Z015E0168,M162W,14,2,S
890,10NAM-366-22@,Z015E0168,M162W,12,2,S
892,10NAM-368-21@,Z015E0170,M162W,12,3,S
895,10NAM-369-21@,Z015E0171,M162W,15,4,S
896,10NAM-369-22@,Z015E0171,M162W,18,4,T
897,10NAM-370-21@,Z015E0172,M162W,16,5,S
898,10NAM-370-22@,Z015E0172,M162W,16,3,S
899,10NAM-370-23@,Z015E0172,M162W,14,4,S
900,10NAM-370-24@,Z015E0172,M162W,13,3,T
901,10NAM-371-21@,Z015E0173,M162W,16,3,S
902,10NAM-371-22@,Z015E0173,M162W,14,3,S
903,10NAM-373-21@,Z015E0175,M162W,16,1,S
904,10NAM-373-22@,Z015E0175,M162W,19,4,S
905,10NAM-373-23@,Z015E0175,M162W,18,5,S
907,10NAM-374-21@,Z015E0176,M162W,13,3,S
908,10NAM-374-22@,Z015E0176,M162W,16,5,S
909,10NAM-375-21@,Z015E0177,M162W,14,2,S
910,10NAM-375-22@,Z015E0177,M162W,14,1,S
912,10NAM-376-21@,Z015E0178,M162W,16,4,S
913,10NAM-376-22@,Z015E0178,M162W,14,4,S
914,10NAM-376-23@,Z015E0178,M162W,14,3,S
915,10NAM-377-21@,Z015E0179,M162W,14,5,S
916,10NAM-377-22@,Z015E0179,M162W,14,4,S
917,10NAM-377-23@,Z015E0179,M162W,16,5,S
918,10NAM-378-21@,Z015E0180,M162W,13,2,S
919,10NAM-378-22@,Z015E0180,M162W,12,2,S
920,10NAM-378-23@,Z015E0180,M162W,12,4,S
921,10NAM-379-21@,Z015E0181,M162W,14,4,S
922,10NAM-380-21@,Z015E0182,M162W,16,5,S
923,10NAM-380-22@,Z015E0182,M162W,14,2,S
924,10NAM-381-21@,Z015E0183,M162W,14,4,S
925,10NAM-381-22@,Z015E0183,M162W,14,3,S
926,10NAM-382-21@,Z015E0185,M162W,14,2,S
927,10NAM-383-21@,Z015E0186,M162W,12,3,T
928,10NAM-383-22@,Z015E0186,M162W,10,3,T
929,10NAM-383-23@,Z015E0186,M162W,10,3,T
930,10NAM-384-21@,Z015E0187,M162W,12,4,T
931,10NAM-384-22@,Z015E0187,M162W,14,4,T
932,10NAM-384-23@,Z015E0187,M162W,12,4,S
933,10NAM-385-21@,Z015E0188,M162W,16,5,S
934,10NAM-385-22@,Z015E0188,M162W,16,4,T
935,10NAM-385-23@,Z015E0188,M162W,14,4,S
937,10NAM-386-21@,Z015E0189,M162W,16,5,S
939,10NAM-387-21@,Z015E0190,M162W,18,1,T
940,10NAM-387-22@,Z015E0190,M162W,18,4,T
941,10NAM-388-21@,Z015E0191,M162W,16,3,T
942,10NAM-388-22@,Z015E0191,M162W,18,4,T
943,10NAM-389-21@,Z015E0192,M162W,14,4,S
944,10NAM-389-22@,Z015E0192,M162W,16,5,S
945,10NAM-389-23@,Z015E0192,M162W,14,5,T
946,10NAM-390-21@,Z015E0193,M162W,16,3,S
947,10NAM-390-22@,Z015E0193,M162W,14,5,S
948,10NAM-390-23@,Z015E0193,M162W,14,5,S
949,10NAM-390-24@,Z015E0193,M162W,14,4,T
950,10NAM-390-25@,Z015E0193,M162W,14,4,T
951,10NAM-392-21@,Z015E0195,M162W,14,5,S
952,10NAM-392-22@,Z015E0195,M162W,12,4,S
953,10NAM-392-23@,Z015E0195,M162W,12,3,S
954,10NAM-393-21@,Z015E0196,M162W,14,3,S
955,10NAM-394-21@,Z015E0197,M162W,16,4,S
956,10NAM-394-22@,Z015E0197,M162W,14,3,S
957,10NAM-395-21@,Z015E0198,M162W,16,4,T
959,10NAM-397-21@,Z015E0200,M162W,14,3,S
960,10NAM-397-22@,Z015E0200,M162W,16,3,S
961,10NAM-397-23@,Z015E0200,M162W,14,5,S
962,10NAM-398-21@,Z015E0203,M162W,16,4,T
963,10NAM-398-22@,Z015E0203,M162W,18,4,T
964,10NAM-398-23@,Z015E0203,M162W,,,
965,10NAM-400-21@,Z015E0235,M162W,18,4,T
966,10NAM-400-22@,Z015E0235,M162W,18,4,T
967,10NAM-400-23@,Z015E0235,M162W,16,3,T
968,10NAM-400-24@,Z015E0235,M162W,16,2,T
969,10NAM-400-25@,Z015E0235,M162W,,,
970,10NAM-401-21@,Z015E0237,M162W,12,3,S
971,10NAM-401-22@,Z015E0237,M162W,12,4,S
972,10NAM-402-21@,Z015E0238,M162W,12,5,S
973,10NAM-402-22@,Z015E0238,M162W,12,5,S
974,10NAM-402-23@,Z015E0238,M162W,14,2,S
975,10NAM-403-21@,Z005E0001,CML277,14,2,S
976,10NAM-404-21@,Z005E0003,CML277,12,2,S
977,10NAM-404-22@,Z005E0003,CML277,12,3,S
978,10NAM-407-21@,Z005E0006,CML277,12,2,S
979,10NAM-407-22@,Z005E0006,CML277,12,4,S
980,10NAM-408-21@,Z005E0007,CML277,14,1,S
982,10NAM-409-21@,Z005E0008,CML277,12,3,S
983,10NAM-409-22@,Z005E0008,CML277,12,4,S
984,10NAM-410-21@,Z005E0009,CML277,12,5,S
985,10NAM-410-22@,Z005E0009,CML277,14,5,S
986,10NAM-410-23@,Z005E0009,CML277,12,5,S
987,10NAM-410-24@,Z005E0009,CML277,16,5,S
988,10NAM-410-25@,Z005E0009,CML277,12,5,S
989,10NAM-411-21@,Z005E0010,CML277,20,4,T
990,10NAM-411-22@,Z005E0010,CML277,18,5,S
991,10NAM-412-21@,Z005E0011,CML277,14,1,S
992,10NAM-413-21@,Z005E0012,CML277,16,2,S
993,10NAM-413-22@,Z005E0012,CML277,16,3,S
994,10NAM-413-23@,Z005E0012,CML277,16,3,T
995,10NAM-414-21@,Z005E0013,CML277,16,5,S
996,10NAM-414-22@,Z005E0013,CML277,14,5,S
997,10NAM-415-21@,Z005E0014,CML277,14,4,S
998,10NAM-415-22@,Z005E0014,CML277,14,4,T
999,10NAM-415-23@,Z005E0014,CML277,16,4,T
1000,10NAM-415-24@,Z005E0014,CML277,14,3,T
1001,10NAM-416-21@,Z005E0015,CML277,13,3,S
1002,10NAM-416-22@,Z005E0015,CML277,18,2,T
1003,10NAM-416-23@,Z005E0015,CML277,16,3,S
1004,10NAM-417-21@,Z005E0016,CML277,16,3,S
1006,10NAM-421-21@,Z005E0020,CML277,18,3,T
1008,10NAM-422-21@,Z005E0021,CML277,14,2,S
1009,10NAM-422-22@,Z005E0021,CML277,12,1,S
1010,10NAM-422-23@,Z005E0021,CML277,16,2,S
1011,10NAM-423-21@,Z005E0022,CML277,14,3,T
1012,10NAM-426-21@,Z005E0025,CML277,14,1,T
1013,10NAM-428-21@,Z005E0028,CML277,16,5,S
1014,10NAM-428-22@,Z005E0028,CML277,17,2,T
1015,10NAM-428-23@,Z005E0028,CML277,12,2,T
1016,10NAM-429-21@,Z005E0029,CML277,12,3,T
1017,10NAM-429-22@,Z005E0029,CML277,12,3,T
1018,10NAM-430-21@,Z005E0032,CML277,14,4,T
1019,10NAM-430-22@,Z005E0032,CML277,14,4,T
1020,10NAM-430-23@,Z005E0032,CML277,,,
1021,10NAM-431-21@,Z005E0033,CML277,16,5,S
1022,10NAM-431-22@,Z005E0033,CML277,16,5,S
1023,10NAM-431-23@,Z005E0033,CML277,16,3,S
1024,10NAM-432-21@,Z005E0034,CML277,18,4,T
1025,10NAM-433-21@,Z005E0035,CML277,18,2,T
1026,10NAM-435-21@,Z005E0037,CML277,15,1,S
1027,10NAM-436-21@,Z005E0038,CML277,16,5,S
1028,10NAM-436-22@,Z005E0038,CML277,18,5,S
1029,10NAM-438-21@,Z005E0040,CML277,12,5,S
1030,10NAM-438-22@,Z005E0040,CML277,12,4,S
1032,10NAM-439-21@,Z005E0042,CML277,14,4,S
1033,10NAM-439-22@,Z005E0042,CML277,14,5,S
1034,10NAM-440-21@,Z005E0043,CML277,16,3,S
1035,10NAM-440-22@,Z005E0043,CML277,18,5,S
1036,10NAM-440-23@,Z005E0043,CML277,16,3,S
1037,10NAM-440-24@,Z005E0043,CML277,18,5,S
1038,10NAM-442-21@,Z005E0045,CML277,14,5,S
1039,10NAM-442-22@,Z005E0045,CML277,12,5,S
1040,10NAM-444-21@,Z005E0047,CML277,14,5,S
1041,10NAM-444-22@,Z005E0047,CML277,18,4,S
1042,10NAM-444-23@,Z005E0047,CML277,16,5,S
1044,10NAM-445-21@,Z005E0048,CML277,17,4,S
1045,10NAM-445-22@,Z005E0048,CML277,16,5,S
1046,10NAM-447-21@,Z005E0050,CML277,12,2,S
1047,10NAM-448-21@,Z005E0051,CML277,14,5,S
1048,10NAM-448-22@,Z005E0051,CML277,12,2,S
1050,10NAM-449-21@,Z005E0052,CML277,14,3,T
1051,10NAM-451-21@,Z005E0054,CML277,14,3,T
1052,10NAM-452-21@,Z005E0055,CML277,15,3,T
1053,10NAM-452-22@,Z005E0055,CML277,12,1,T
1055,10NAM-453-21@,Z005E0056,CML277,12,4,S
1056,10NAM-453-22@,Z005E0056,CML277,12,5,S
1057,10NAM-453-23@,Z005E0056,CML277,12,5,S
1058,10NAM-454-21@,Z005E0057,CML277,18,5,S
1059,10NAM-454-22@,Z005E0057,CML277,18,5,S
1060,10NAM-456-21@,Z005E0059,CML277,16,5,S
1061,10NAM-456-22@,Z005E0059,CML277,14,3,T
1062,10NAM-457-21@,Z005E0060,CML277,12,5,S
1063,10NAM-457-22@,Z005E0060,CML277,14,5,S
1064,10NAM-457-23@,Z005E0060,CML277,14,5,S
