Genotype,Population,Subpopulation,KRN
B73xZ004E0136,BxRIL,Z004,18.7
B73xZ004E0141,BxRIL,Z004,18.3
B73xZ004E0161,BxRIL,Z004,13.7
B73xZ004E0162,BxRIL,Z004,18.7
B73xZ004E0175,BxRIL,Z004,17.5
B73xZ004E0190,BxRIL,Z004,18.7
B73xZ004E0191,BxRIL,Z004,16.3
B73xZ004E0199,BxRIL,Z004,18.3
B73xZ005E0012,BxRIL,Z005,16.7
B73xZ005E0013,BxRIL,Z005,16
B73xZ005E0014,BxRIL,Z005,15.7
B73xZ005E0027,BxRIL,Z005,18.4
B73xZ005E0042,BxRIL,Z005,15
B73xZ005E0043,BxRIL,Z005,17.6
B73xZ005E0055,BxRIL,Z005,16.3
B73xZ005E0063,BxRIL,Z005,16.4
B73xZ005E0066,BxRIL,Z005,18
B73xZ005E0075,BxRIL,Z005,16
B73xZ005E0079,BxRIL,Z005,15.7
B73xZ005E0083,BxRIL,Z005,16
B73xZ005E0093,BxRIL,Z005,16.3
B73xZ005E0096,BxRIL,Z005,16
B73xZ005E0097,BxRIL,Z005,17.3
B73xZ005E0099,BxRIL,Z005,16.3
B73xZ005E0100,BxRIL,Z005,16.7
B73xZ005E0111,BxRIL,Z005,15
B73xZ005E0112,BxRIL,Z005,17.3
B73xZ005E0113,BxRIL,Z005,16.3
B73xZ005E0117,BxRIL,Z005,16.7
B73xZ005E0139,BxRIL,Z005,16.3
B73xZ005E0149,BxRIL,Z005,17.6
B73xZ005E0155,BxRIL,Z005,15.6
B73xZ005E0173,BxRIL,Z005,15.3
B73xZ006E0012,BxRIL,Z006,17.6
B73xZ006E0016,BxRIL,Z006,17.6
B73xZ006E0027,BxRIL,Z006,18
B73xZ006E0028,BxRIL,Z006,16.7
B73xZ006E0041,BxRIL,Z006,19.7
B73xZ006E0088,BxRIL,Z006,17.2
B73xZ006E0124,BxRIL,Z006,17.2
B73xZ006E0125,BxRIL,Z006,14.7
B73xZ006E0154,BxRIL,Z006,20
B73xZ006E0171,BxRIL,Z006,16.7
B73xZ006E0193,BxRIL,Z006,15.7
B73xZ006E0196,BxRIL,Z006,16
B73xZ007E0015,BxRIL,Z007,17.3
B73xZ007E0117,BxRIL,Z007,14.8
B73xZ008E0006,BxRIL,Z008,17
B73xZ008E0009,BxRIL,Z008,15.7
B73xZ008E0013,BxRIL,Z008,14.8
B73xZ008E0017,BxRIL,Z008,15.7
B73xZ008E0040,BxRIL,Z008,16
B73xZ008E0041,BxRIL,Z008,14.3
B73xZ008E0047,BxRIL,Z008,16
B73xZ008E0054,BxRIL,Z008,18
B73xZ008E0056,BxRIL,Z008,16
B73xZ008E0062,BxRIL,Z008,16.7
B73xZ008E0064,BxRIL,Z008,16
B73xZ008E0075,BxRIL,Z008,15
B73xZ008E0094,BxRIL,Z008,16.7
B73xZ008E0099,BxRIL,Z008,16.4
B73xZ008E0123,BxRIL,Z008,19
B73xZ008E0127,BxRIL,Z008,15.2
B73xZ008E0134,BxRIL,Z008,16
B73xZ008E0139,BxRIL,Z008,16.7
B73xZ008E0141,BxRIL,Z008,16
B73xZ008E0177,BxRIL,Z008,16.7
B73xZ008E0183,BxRIL,Z008,14.5
B73xZ009E0015,BxRIL,Z009,15
B73xZ009E0025,BxRIL,Z009,17
B73xZ009E0031,BxRIL,Z009,14.7
B73xZ009E0051,BxRIL,Z009,16
